Account_Length,Vmail_Message,Day_Mins,Eve_Mins,Night_Mins,Intl_Mins,CustServ_Calls,Intl_Plan,Vmail_Plan,State,Area_Code,Phone,Churn
127,0,146.7,203.5,203.4,13.7,1,no,no,WA,408,386-7281,no
83,0,271.5,216.3,121.1,11.7,1,yes,no,UT,408,380-3561,no
121,0,181.5,218.4,161.6,8.5,1,no,no,LA,408,390-8760,no
145,43,257.7,162.1,286.9,11.1,2,no,yes,RI,408,366-6730,no
113,0,193.8,221.4,172.3,10.6,1,no,no,IA,408,395-5285,no
117,0,102.8,206.7,299,10.1,1,no,no,NE,415,354-3436,no
65,0,187.9,157.6,227.3,7.5,1,no,no,OH,408,336-7600,no
56,0,226,248.5,140.5,6.9,1,no,no,RI,415,383-6293,no
96,0,260.4,146,269.5,11.5,5,no,no,OK,415,362-4596,no
151,0,178.7,292.1,265.9,9.8,0,no,no,LA,408,401-3926,no
83,0,337.4,227.4,153.9,15.8,0,no,no,OH,415,370-9116,yes
139,23,157.6,247,259.2,13.7,0,no,yes,VA,510,328-6289,no
6,0,183.6,256.7,178.6,10.2,1,no,no,MO,510,350-9994,no
115,24,142.1,183.4,164.8,9.6,1,no,yes,FL,510,351-4616,no
87,0,136.3,172.2,137.5,7.1,0,no,no,SC,415,360-5779,no
141,0,217.1,241.5,253.5,12,0,no,no,VA,415,417-4885,no
141,36,187.5,241.4,229.5,10.5,3,no,yes,IA,510,406-4710,no
62,0,98.9,135.4,236.6,12.2,1,no,no,MI,415,409-8743,no
146,0,206.3,148.6,167.2,6.1,1,no,no,OK,415,335-4584,no
92,33,243.1,213.8,228.7,12.1,2,no,yes,DE,415,361-9845,no
185,31,189.8,163.3,264.8,7.5,1,no,yes,GA,510,366-5699,no
148,0,202,243.2,261.3,10.9,1,no,no,DC,415,329-9364,no
94,38,170.1,193.3,105.9,12.8,1,no,yes,AZ,408,390-7434,no
32,0,230.9,187.4,154,6.3,0,no,no,AL,510,404-9680,no
68,0,237.1,223.5,97.4,13.2,1,no,no,CO,408,338-9398,no
64,27,182.1,169.7,164.7,10.6,2,no,yes,NH,408,394-2445,no
25,0,119.3,211.5,268.9,10.5,3,no,no,NM,415,381-2709,no
65,0,116.8,178.9,182.4,14.1,1,no,no,OR,415,397-5060,no
179,0,219.2,149.4,244.7,6.1,0,no,no,LA,408,415-2393,no
94,0,252.6,169,170.9,11.1,2,no,no,NE,415,377-1765,no
62,0,147.1,190.4,195.2,12.2,0,no,no,MN,415,409-2111,no
127,0,202.1,229.4,195.2,11.5,2,no,no,MI,415,401-3170,no
116,0,173.5,194.1,208,16.2,3,no,no,AR,408,405-5681,no
70,0,232.1,292.3,201.2,0,3,no,no,KS,408,411-4582,no
94,23,197.1,214.5,282.2,9.5,4,yes,yes,WV,510,355-5009,no
126,0,58.2,138.7,136.8,11.9,5,no,no,AK,415,372-3750,yes
67,36,115.6,237.7,169.9,9.9,2,no,yes,NY,408,405-2888,no
19,0,186.1,254.3,214,14.6,2,no,no,NH,408,361-3337,no
170,0,259.9,245,134.4,8.4,3,yes,no,VA,510,350-1639,no
73,0,214.3,268.5,241.2,10.8,1,no,no,NM,415,333-3221,no
106,0,158.7,64.3,198.5,10.2,1,no,no,NY,408,422-1471,no
93,0,271.6,229.4,77.3,10.9,2,no,no,AZ,415,399-7865,no
164,0,160.6,163.2,187.1,9,1,no,no,WY,510,373-4819,no
51,0,232.4,187.4,231.2,9.1,1,no,no,WA,408,338-6981,no
107,0,133.8,180.5,112.2,8.9,0,no,no,CO,415,418-4365,no
130,0,176.9,90.7,238,9.5,1,no,no,TX,415,359-5461,no
80,0,209.9,195.1,208.2,8.8,2,no,no,KY,408,375-3586,no
94,0,137.5,203.2,150,13.4,0,no,no,MT,415,407-8376,no
118,23,289.5,166.6,119.1,9.5,1,no,yes,OK,408,408-6496,no
117,23,198.1,177,180.5,6.8,1,no,yes,MD,415,385-7688,no
78,0,149.7,182.2,261.5,9.7,0,no,no,TN,415,332-6934,no
208,0,326.5,176.3,181.7,10.7,2,no,no,TX,510,378-3625,yes
131,26,292.9,199.7,255.3,13.8,4,yes,yes,ME,510,353-7292,yes
63,0,83,177,245.7,13,0,no,no,DC,408,399-6786,no
53,24,145.7,220.5,249.9,13.1,3,no,yes,MN,415,358-3261,no
62,0,182.3,328.2,245,11.2,2,no,no,DE,408,377-9932,no
97,0,218,184,240.5,6.4,3,no,no,MD,415,397-4030,no
105,0,140.6,178.6,217,6.8,2,no,no,MI,510,367-1062,no
157,0,152.7,257.5,198.1,9.4,1,no,no,WA,415,341-8467,no
66,36,106.7,209.8,190.4,12.1,1,no,yes,MO,415,339-9453,no
122,0,243.8,83.9,179.8,13.7,2,no,no,IN,415,344-3388,no
38,0,194.4,186.7,223.3,10.8,3,no,no,OR,415,375-8013,no
106,0,213.9,151.9,260.1,12.2,3,no,no,MD,510,408-4142,no
99,0,217.2,246.7,226.1,15.8,3,no,no,RI,510,386-3671,no
99,0,241.1,155.6,188.2,11.6,1,no,no,LA,415,411-2284,no
144,0,203.5,247.6,194.3,11.9,0,yes,no,AZ,510,346-7795,no
82,24,155.2,244.5,122.4,10.7,1,no,yes,PA,415,333-5609,no
86,31,167.6,113,246.9,12.2,1,no,yes,AZ,408,405-1842,no
70,0,226.7,228.1,73.2,17.6,2,yes,no,FL,510,366-6345,yes
93,0,179.3,178.6,225.2,11.5,3,no,no,LA,415,337-9345,no
93,0,151.4,186.4,172.5,10.9,0,no,no,FL,415,328-6770,no
120,0,180,224.2,265.4,4.7,3,no,no,FL,415,380-7321,no
136,0,250.2,267.1,151,13,1,no,no,MD,415,375-1476,yes
106,0,223,110.1,188.7,7.1,0,no,no,AL,415,356-1567,no
81,0,183.6,152.6,212.2,12.2,3,no,no,WA,415,422-6685,no
127,22,166,174.5,244.9,10.2,1,no,yes,TN,408,336-1090,no
65,0,136.1,272.9,220.2,4.4,1,no,no,MS,415,343-2095,no
35,0,149.3,242.2,174.3,8.9,2,no,no,ME,408,345-3934,no
88,0,65.4,168.2,236,13.8,2,no,no,OK,408,338-8050,no
65,0,213.4,234.5,250.1,2.7,1,no,no,IN,415,388-9568,no
123,0,206.9,244.7,221.5,7.7,3,no,no,MO,415,402-6591,no
126,27,186.2,189.6,76.5,9.6,2,no,yes,IA,408,403-6419,no
104,23,280.2,220.5,136.9,13.3,4,no,yes,VA,415,386-9790,no
45,22,196.6,313.2,163.3,11.9,0,no,yes,KY,415,378-5692,no
93,0,312,129.4,217.6,10.5,0,yes,no,MD,408,360-3324,yes
63,36,199,291.3,197.6,11,1,yes,yes,OH,415,410-3719,no
100,0,203.1,217,180.9,13.5,3,no,no,OK,415,352-4221,no
53,0,168.8,220.3,154.3,10.9,0,no,no,NV,415,327-6179,no
92,0,173.1,240.3,233.2,9,1,yes,no,ID,415,359-6196,no
139,0,134.4,211.3,193.6,10.2,5,no,no,MN,510,374-9107,yes
110,40,202.6,118.8,234.9,9,2,no,yes,SD,408,357-4078,no
110,0,74.5,200.8,192.2,9.8,3,no,no,IL,408,366-5780,no
215,0,83.6,120.9,226.6,10.7,0,no,no,WY,510,393-9619,no
73,0,192.2,168.6,139.8,9.4,1,no,no,AL,415,355-9295,no
138,0,220.2,88.3,195.3,12.9,0,no,no,NJ,510,400-5751,no
137,0,135.1,134.1,223.1,12.3,2,yes,no,NV,415,338-1027,yes
36,0,253.4,182.4,275.8,8.4,1,no,no,IN,415,405-8867,no
85,0,225,176.9,194.3,7.1,3,no,no,WV,408,336-5616,no
108,0,198.5,267.8,354.9,9.4,0,no,no,VA,408,335-1697,yes
22,0,110.3,166.5,202.3,9.5,0,no,no,SC,408,331-5138,no
107,37,60,102.2,261.8,11.1,0,no,yes,RI,415,385-8240,no
51,0,214.8,149.7,283.4,10.2,0,no,no,IN,510,348-1359,no
94,0,181.8,202.4,245.9,9.2,4,no,no,AZ,408,354-7339,no
119,23,154,278,228.4,11.8,2,no,yes,NM,510,349-1687,no
33,29,157.4,117.9,279.2,13.9,4,no,yes,OR,415,380-2558,yes
106,0,207.9,172,191.8,14.4,4,no,no,NJ,415,365-2153,no
82,0,207,232.9,172.4,9.1,3,no,no,MS,408,345-6043,no
86,41,119,230,236.9,9.5,0,no,yes,MI,510,349-2808,no
97,0,143.7,273,178.3,10.9,0,yes,no,TX,415,411-1715,no
106,32,165.9,216.5,173.1,14.1,4,no,yes,FL,408,385-2488,no
108,0,138.6,172.3,231.6,9.8,1,no,no,DC,510,377-7177,no
114,0,84.7,249.9,193.4,14.5,1,no,no,TX,415,342-1099,no
92,0,62.6,180.6,221.7,10.4,1,yes,no,KS,408,386-4170,yes
59,0,155.2,235.3,169.4,8.7,1,no,no,UT,510,413-1269,no
24,25,164.9,209.3,231.2,6.7,1,no,yes,MN,510,396-4460,no
151,0,134.5,143.1,223.9,15.4,1,no,no,IL,408,334-2730,no
117,0,143.3,211.3,185.2,11.5,1,no,no,NM,415,340-3182,no
78,0,168.3,221.2,241,12.5,1,no,no,SC,510,377-8608,no
155,0,262.4,194.6,146.5,8.3,2,no,no,NC,408,417-3676,no
114,30,206.2,260,291.6,11.4,1,no,yes,WV,510,417-6774,no
114,28,225.8,193,232.4,8.4,4,no,yes,RI,510,411-9554,no
119,0,138.3,170.5,263.9,13.5,3,no,no,NH,408,420-3192,no
64,48,94.4,136.2,147.4,4.5,0,no,yes,MO,510,389-1475,no
118,0,160,175.4,184.8,9.9,2,yes,no,MA,408,343-7734,no
101,0,206.6,224.9,249.9,14.6,0,no,no,PA,415,410-3390,no
117,0,134.7,180,200.9,7.7,1,no,no,OK,415,344-6495,no
49,28,214.4,235.2,206.2,8,3,no,yes,AL,415,331-6229,no
139,0,192.8,234.4,203.2,13,3,no,no,WY,415,337-7501,no
92,28,151.1,194.8,239.2,10,1,no,yes,PA,408,339-9631,no
83,0,221.4,231.8,122.5,9.8,3,no,no,WA,415,369-4384,no
148,0,218.9,208,203.3,11.1,0,yes,no,HI,510,416-3915,no
144,48,189.8,123.4,214.2,6.5,2,no,yes,SD,408,339-3049,yes
131,25,192.7,225.9,254.2,10.9,2,no,yes,AL,415,361-7998,no
146,0,204.4,219.1,222.7,10.5,3,yes,no,VT,510,355-4842,no
143,0,172.3,174,188.2,13,2,no,no,MT,415,387-6440,no
81,0,198.4,210.9,193.3,10.4,2,no,no,MN,415,369-2625,no
48,37,211.7,159.9,144.1,12.2,1,no,yes,AK,415,389-7073,no
86,28,221.6,288.4,240.3,9,1,no,yes,MI,415,370-8463,no
71,0,197.9,181.5,281.4,6.7,3,no,no,DE,415,362-7318,no
145,24,147.5,175.7,252.1,15.6,2,no,yes,SD,408,412-1194,no
137,0,206.4,128,194.5,8.8,2,no,no,MI,510,355-9508,no
137,0,205.9,209.3,289.9,14.5,2,no,no,KS,408,352-8202,no
167,0,207.6,132.4,255.2,14.1,0,no,no,AL,510,335-5882,no
89,0,303.9,260.9,312.1,5.3,1,no,no,OK,510,352-6976,yes
199,34,230.6,219.4,299.3,8,0,no,yes,CT,415,393-6733,no
132,0,99.5,129.1,125.1,9.7,0,no,no,NE,510,335-1838,no
94,0,177.1,194,146.7,5.9,1,no,no,WI,510,355-6930,no
96,37,172.7,120.1,216.1,10.3,5,no,yes,CT,415,387-5860,yes
96,18,172.7,133.4,259.5,9.8,1,no,yes,WI,510,343-2605,no
166,0,204.2,179.9,216.8,9.5,1,no,no,IN,510,350-6759,no
74,0,85.7,247.7,142.4,10.1,2,no,no,DC,415,371-1514,no
36,0,157.6,184.3,240.4,11.9,0,no,no,AR,415,346-9317,no
113,0,215.5,218.7,207.1,6.6,4,no,no,ME,415,398-4313,no
94,0,181.5,199.9,287.7,6.6,1,no,no,MN,415,412-4399,no
67,0,171.7,110.4,195.4,11.9,2,no,no,MD,415,330-1835,no
127,0,266.6,264.8,207.2,5.9,1,no,no,FL,415,416-1676,yes
121,0,170.4,350.5,297,11.2,0,no,no,RI,408,329-7347,yes
158,0,158,292.5,241.1,9.1,1,no,no,IA,415,360-6868,no
136,0,92,253.6,214.1,10.3,1,no,no,AZ,510,405-6641,no
196,0,234,249.5,173.1,9.1,2,no,no,MO,415,393-2373,no
113,0,272.1,268.5,213.8,8.5,1,no,no,VT,415,419-1714,yes
122,0,296.4,214.8,133.9,11.4,4,no,no,IN,408,336-3819,yes
112,0,194.4,190.3,183.4,11.4,0,no,no,RI,510,341-3464,no
209,0,227.2,258.4,183.5,8.9,3,no,no,SD,415,413-5310,no
62,0,248.7,220,265.7,13.2,1,no,no,MN,415,366-7912,yes
110,38,236.3,195.9,183.5,9.7,1,no,yes,TX,415,399-8845,no
16,0,205.6,169.5,220.1,10.9,0,no,no,VA,510,368-2583,no
73,0,94.1,280.3,205,9.8,0,no,no,MA,408,360-6309,no
128,0,125.2,205.4,254.4,18.9,0,no,no,ID,408,359-5890,no
39,0,60.4,306.2,123.9,12.4,1,no,no,MA,408,332-2462,no
103,28,121,270.4,160.5,7.7,2,no,yes,GA,415,381-9196,no
119,29,117.8,256.8,147.6,7.6,3,no,yes,RI,415,329-3222,no
173,21,232.4,211.9,273,5,3,no,yes,ID,510,363-5819,no
128,32,223.5,188.8,154.9,9.4,2,yes,yes,SD,510,413-9269,yes
86,0,176.3,259.2,287.4,6.2,0,no,no,MA,510,330-7483,no
114,32,125.2,177.8,232.4,12.9,1,no,yes,WY,415,403-7775,no
104,0,138.7,256.9,234.9,10,0,no,no,VA,408,360-2479,no
148,0,86.3,246.6,251.6,11.3,1,no,no,OR,415,394-3791,no
129,0,207,154.9,245.1,13.4,3,no,no,VA,408,384-2632,no
100,30,58.8,219.5,152.3,7.1,0,no,yes,ME,510,359-8466,no
121,35,68.7,209.2,197.4,11.4,1,no,yes,AL,408,331-8909,no
143,33,239.2,235.5,156.3,9.5,1,no,yes,GA,408,359-5160,no
76,0,198.3,217.1,188.4,12.5,0,no,no,IA,510,330-9833,no
158,0,205.2,240.6,79.7,14.4,0,no,no,AZ,510,362-2314,no
116,0,192.1,312.9,130.2,7.9,3,no,no,FL,510,338-8478,no
54,0,272.6,248.7,197.4,9.5,1,no,no,MT,415,387-5453,yes
86,0,128.3,197.1,138.4,12.2,7,no,no,AL,415,380-3437,yes
108,0,169.6,264.1,206.3,9.3,0,no,no,DE,510,365-8779,no
66,0,201.3,152.8,233.2,7.5,1,no,no,MT,510,407-2750,no
151,17,214.7,138.5,169.1,8.6,1,no,yes,KY,408,396-8265,no
99,0,169.2,271.5,170.2,10.6,0,no,no,SC,510,397-4304,no
55,0,194.1,176.6,302.8,7,2,no,no,WA,415,333-2611,no
77,0,233.8,266.5,212.7,7.6,2,no,no,OR,510,409-8814,no
78,0,225.1,199.2,175.5,14.6,0,no,no,AK,408,336-5406,no
89,0,213,176.6,262.6,9.1,1,no,no,GA,415,343-6940,yes
101,0,183.9,255.9,275,10.8,1,no,no,MN,415,361-9923,no
44,34,221.8,161.7,227.7,14,0,no,yes,IL,415,350-6639,no
98,21,64.6,176.1,244.8,0,2,no,yes,IN,408,376-4300,no
64,37,154.6,83.4,165.9,13.3,1,no,yes,SC,510,349-6567,no
141,0,260.2,179.2,135,7.2,3,no,no,VA,415,333-7749,no
81,33,161.6,123,261.3,12.2,1,no,yes,WI,415,408-6089,no
162,0,220.6,155.2,186.7,10.5,1,no,no,VT,510,375-2165,no
83,41,155.9,162.3,127.6,13.1,3,no,yes,AZ,415,400-6999,no
100,0,107,105.7,243.1,12.8,4,no,no,FL,510,420-7823,yes
59,0,182.5,204.7,229.9,11.3,4,no,no,AK,510,366-5241,no
179,38,220.1,234.3,237.3,10.1,4,yes,yes,AR,415,413-3412,no
79,0,152.2,177.2,96.4,5.3,1,no,no,AR,408,406-2752,no
117,0,181.5,205.1,204,14.7,2,no,no,AK,415,337-8078,no
64,0,236.2,218.6,194.1,13.2,2,yes,no,MS,408,402-1942,yes
31,0,166.1,79.3,213.7,12.7,1,no,no,ME,415,371-7917,no
124,0,244.6,188.8,206,11.3,1,yes,no,CA,408,343-6374,no
122,23,134.2,227.3,122.4,8.5,2,no,yes,NM,408,385-8730,no
37,39,149.7,211.1,114.3,9.2,1,yes,yes,NE,408,393-7892,no
90,29,150.1,264.7,178.4,5.8,1,no,yes,SC,408,407-6748,no
159,0,257.1,312.2,183,8.8,1,yes,no,CO,408,341-4463,yes
148,0,124.4,179.7,253,11.3,0,no,no,DE,415,351-2587,no
39,36,141.7,232.3,222.1,12,1,no,yes,OH,415,421-9752,no
77,0,230,103.2,309.6,11.3,2,no,no,MS,408,356-4001,no
194,0,162.3,213.7,192.1,10.9,0,no,no,OK,408,328-9869,no
154,0,350.8,216.5,253.9,10.1,1,no,no,CO,415,343-5709,yes
